Status,Vessel type,Hull No.,Type,Dwt,GT,Size,Unit,CGT,Built,Builder,Yard Status,Contract Date,Owner,Owner Group,NB Price,Currency
On Order,LR2 ,747,L.P.G.,"51,000","48,300","83,000",cu.m.,"28,989",2018-12,MHI Nagasaki,Established <2000,2015-Oct-30,Nippon Yusen Kaisha,Nippon Yusen Kaisha,,
On Order,LR2 ,N/A,L.P.G.,"54,243","46,796","82,200",cu.m.,"28,471",2019-03,Kawasaki HI Sakaide,Established <2000,2015-Oct-30,Iino Kaiun Kaisha,Iino Kaiun Kaisha,8.60,Ybn
On Order,LR2 ,760,L.P.G.,"54,312","46,885","82,200",cu.m.,"28,502",2019-06,Kawasaki HI Sakaide,Established <2000,2015-Oct-30,NS Utd KK/Idemitsu,NS Utd KK/Idemitsu,,
On Order,LR2 ,750,L.P.G.,"50,000",,"82,200",cu.m.,"27,280",2018-12,Kawasaki HI Sakaide,Established <2000,2015-Sep-04,K-Line,K-Line,,
On Order,LR2 ,757,L.P.G.,"54,140","46,884","82,200",cu.m.,"28,502",2019-03,Kawasaki HI Sakaide,Established <2000,2015-Mar-01,Kumiai Nav. Pte. Ltd,Kumiai Senpaku K.K.,,
On Order,LR2 ,748,L.P.G.,"54,000",,"84,000",cu.m.,"28,504",2018-09,Jiangnan SY Group,Established <2000,2014-Jun-30,Tianjin Southwest,Wideshine Enterprise,73.50,$m
On Order,LR2 ,751,L.P.G.,"54,000",,"84,000",cu.m.,"28,504",2018-09,Jiangnan SY Group,Established <2000,2014-Jun-30,Tianjin Southwest,Wideshine Enterprise,73.50,$m
On Order,LR2 ,SF140504,O. Salv. Tug,,"2,000",,HP,"5,121",2019-01,Huangpu Wenchong,Established >2010,2017-Sep-27,Donghai Rescue,China Rescue & Salv,,
On Order,LR2 ,SF140503,O. Salv. Tug,,"1,200",,HP,"3,731",2018-10,Francisco Cardama,Established <2000,2016-Mar-15,Unknown Senegalese,Unknown Senegalese,,
On Order,LR1 ,SF140501,AHTS,,"1,500","6,446",HP,"4,284",2020-02,Fujian Mawei SB,Established <2000,2015-Jan-01,Fujian Mawei SB,Fujian Shipbuilding,,
On Order,LR1 ,SF140502,AHTS,,"1,500","6,446",HP,"4,284",2020-06,Fujian Mawei SB,Established <2000,2015-Jan-01,Fujian Mawei SB,Fujian Shipbuilding,,
On Order,LR1 ,N/A,AHTS,,"2,200","8,152",HP,"5,433",2018-08,Nantong Tongshun,Established <2000,2014-Jul-29,Pacific Crest,Pacific Radiance,17.00,$m
On Order,LR1 ,N/A,AHTS,,"2,200","8,152",HP,"5,433",2019-01,Nantong Tongshun,Established <2000,2014-Jun-01,Brinepanse Invest,Brinepanse Invest,,
On Order,LR1 ,N/A,AHTS,,"2,000","8,000",HP,"5,121",2018-11,Fujian Baima,Established <2000,2014-Jan-01,Nam Cheong Marine,Nam Cheong Dockyard,,
On Order,LR1 ,N/A,AHTS,,"2,000","8,000",HP,"5,121",2019-01,Fujian Baima,Established <2000,2014-Jan-01,Nam Cheong Marine,Nam Cheong Dockyard,,
On Order,LR1 ,N/A,AHTS,,"2,000","8,000",HP,"5,121",2019-03,Fujian Baima,Established <2000,2014-Jan-01,Nam Cheong Marine,Nam Cheong Dockyard,,
On Order,LR1 ,N/A,AHTS,,"2,000","8,000",HP,"5,121",2019-05,Fujian Baima,Established <2000,2014-Jan-01,Nam Cheong Marine,Nam Cheong Dockyard,,
On Order,Handy ,N/A,L.P.G.,"28,100",,"38,000",cu.m.,"18,667",2019-03,Namura Shipbuilding,Established <2000,2015-Nov-04,Kumiai Senpaku K.K.,Kumiai Senpaku K.K.,50,$m
On Order,Handy ,N/A,L.P.G.,"28,100",,"38,000",cu.m.,"18,667",2018-12,Hyundai Mipo,Established <2000,2015-Oct-16,Western Energy,Western Energy,,
On Order,LR1 ,N/A,Maintenance,,"3,000",80,LOA,"6,585",2018-08,POET (China) SB,Established >2010,2014-Jan-01,Poet SB & Eng,Poet SB & Eng,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Nantong Xiangyu,Established >2010,2018-Aug-03,Doun Kisen,Doun Kisen,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-04,COSCO HI Yangzhou,Established >2010,2018-Aug-03,Hermes Marine Mgmt,Gulf Marine Mngt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-10,COSCO HI Yangzhou,Established >2010,2018-Aug-03,Hermes Marine Mgmt,Gulf Marine Mngt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-07,COSCO HI Yangzhou,Established >2010,2018-Aug-03,Hermes Marine Mgmt,Gulf Marine Mngt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2021-01,COSCO HI Yangzhou,Established >2010,2018-Aug-03,Hermes Marine Mgmt,Gulf Marine Mngt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Nantong Xiangyu,Established >2010,2018-Aug-03,Doun Kisen,Doun Kisen,,
On Order,Ultramax,N/A,Bulk,"85,000",,"85,000",DWT,"20,344",2020-,Oshima Shipbuilding,Established <2000,2018-Jul-26,Foremost Maritime,Foremost Maritime,,
On Order,Ultramax,N/A,Bulk,"85,000",,"85,000",DWT,"20,344",2021-,Oshima Shipbuilding,Established <2000,2018-Jul-26,Foremost Maritime,Foremost Maritime,,
On Order,Ultramax,N/A,Bulk,"84,700",,"84,700",DWT,"20,300",2020-04,Namura Shipbuilding,Established <2000,2018-Jul-19,Seno Kisen,Seno Kisen,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2018-Jul-13,Lepta Shipping Co,Mitsui & Co,,
On Order,Ultramax,N/A,Bulk,"82,400",,"82,400",DWT,"19,962",2020-11,JMU Maizuru Shipyard,Established >2010,2018-Jun-22,Wisdom Marine Group,Wisdom Marine Group,,
On Order,Ultramax,N/A,Chip,"70,000",,"70,000",DWT,"17,761",2020-,Chengxi Shipyard,Established <2000,2018-Jun-20,Nova Shpg & Log,Nova Shpg & Log,,
On Order,Ultramax,N/A,Chip,"70,000",,"70,000",DWT,"17,761",2020-,Chengxi Shipyard,Established <2000,2018-Jun-20,Nova Shpg & Log,Nova Shpg & Log,,
On Order,Ultramax,N/A,Chip,"70,000",,"70,000",DWT,"17,761",2020-,Chengxi Shipyard,Established <2000,2018-Jun-20,Nova Shpg & Log,Nova Shpg & Log,,
On Order,Ultramax,N/A,Chip,"70,000",,"70,000",DWT,"17,761",2020-,Chengxi Shipyard,Established <2000,2018-Jun-20,Nova Shpg & Log,Nova Shpg & Log,,
On Order,Ultramax,N/A,Bulk,"98,500",,"98,500",DWT,"22,834",2021-02,Oshima Shipbuilding,Established <2000,2018-Jun-15,Asahi Shipping,Nippon Yusen Kaisha,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-11,Jinling Shipyard,Established >2010,2018-May-04,AVIC Leasing,AVIC,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-08,Jinling Shipyard,Established >2010,2018-May-04,AVIC Leasing,AVIC,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2018-May-01,Lepta Shipping Co,Mitsui & Co,,
On Order,Ultramax,HT82-240,Bulk,"82,000",,"82,000",DWT,"19,903",2020-03,Jiangsu New Hantong,Established 2000-10,2018-May-01,Oldendorff Carriers,Oldendorff Carriers,,
On Order,Ultramax,B82K-18,Bulk,"82,000",,"82,000",DWT,"19,903",2021-,Shanhaiguan SB,Established 2000-10,2018-May-01,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,JL0158(B),Bulk,"81,500",,"81,500",DWT,"19,829",2020-,Jinglu Shipyard,Established 2000-10,2018-May-01,Laskaridis Shipping,Laskaridis Shipping,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2018-May-01,Lepta Shipping Co,Mitsui & Co,,
On Order,Ultramax,HT82-239,Bulk,"82,000",,"82,000",DWT,"19,903",2020-01,Jiangsu New Hantong,Established 2000-10,2018-May-01,Oldendorff Carriers,Oldendorff Carriers,,
On Order,Ultramax,B82K-17,Bulk,"82,000",,"82,000",DWT,"19,903",2021-,Shanhaiguan SB,Established 2000-10,2018-May-01,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,YZJ2015-2127,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2018-Apr-20,Hadley Shipping,Hadley Shipping,,
On Order,Ultramax,2663,Bulk,"81,000",,"81,000",DWT,"19,754",2019-11,Imabari SB Hiroshima,Established >2010,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,5209,Bulk,"81,000",,"81,000",DWT,"19,754",2019-06,JMU Maizuru Shipyard,Established >2010,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,5211,Bulk,"81,000",,"81,000",DWT,"19,754",2019-11,JMU Maizuru Shipyard,Established >2010,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,873,Bulk,"82,000",,"82,000",DWT,"19,903",2020-07,Sasebo HI,Established <2000,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,2665,Bulk,"81,000",,"81,000",DWT,"19,754",2019-10,Imabari SB Hiroshima,Established >2010,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,5210,Bulk,"81,000",,"81,000",DWT,"19,754",2019-08,JMU Maizuru Shipyard,Established >2010,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,874,Bulk,"82,000",,"82,000",DWT,"19,903",2020-09,Sasebo HI,Established <2000,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,SC-329,Bulk,"82,000",,"82,000",DWT,"19,903",2020-07,Tsuneishi Cebu,Established <2000,2018-Apr-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,B82K-15,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Shanhaiguan SB,Established 2000-10,2018-Mar-23,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,B82K-16,Bulk,"82,000",,"82,000",DWT,"19,903",2021-,Shanhaiguan SB,Established 2000-10,2018-Mar-23,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2018-Mar-01,Lepta Shipping Co,Mitsui & Co,,
On Order,Ultramax,YZJ2015-2132,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2018-Mar-01,Lepta Shipping Co,Mitsui & Co,,
On Order,Ultramax,B82K-13,Bulk,"82,000",,"82,000",DWT,"19,903",2019-11,Shanhaiguan SB,Established 2000-10,2018-Feb-09,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,YZJ2015-1220,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2018-Feb-09,Tsakos Shpg & Trad,Tsakos Group,,
On Order,Ultramax,B82K-14,Bulk,"82,000",,"82,000",DWT,"19,903",2020-02,Shanhaiguan SB,Established 2000-10,2018-Feb-09,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,YZJ2015-1221,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2018-Feb-09,Tsakos Shpg & Trad,Tsakos Group,,
On Order,Ultramax,NE265,Bulk,"82,000",,"82,000",DWT,"19,903",2019-08,Nantong COSCO KHI,Established 2000-10,2018-Feb-01,Santoku Shipping,Santoku Shipping,,
On Order,Ultramax,HT82-215,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New Hantong,Established 2000-10,2018-Feb-01,Oldendorff Carriers,Oldendorff Carriers,23.50,$m
On Order,Ultramax,HT82-216,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New Hantong,Established 2000-10,2018-Feb-01,Oldendorff Carriers,Oldendorff Carriers,23.50,$m
On Order,Ultramax,JL0157(B),Bulk,"81,500",,"81,500",DWT,"19,829",2020-,Jinglu Shipyard,Established 2000-10,2018-Feb-01,Laskaridis Shipping,Laskaridis Shipping,,
On Order,Ultramax,H3087,Bulk,"82,000",,"82,000",DWT,"19,903",2019-10,Huangpu Wenchong,Established >2010,2018-Jan-05,Seacon Ships Mgmt,Seacon Ships Mgmt,,
On Order,Ultramax,H3086,Bulk,"82,000",,"82,000",DWT,"19,903",2019-08,Huangpu Wenchong,Established >2010,2018-Jan-05,Seacon Ships Mgmt,Seacon Ships Mgmt,,
On Order,Ultramax,5220,Bulk,"82,400",,"82,400",DWT,"19,962",2020-09,JMU Maizuru Shipyard,Established >2010,2018-Jan-01,Wisdom Marine Group,Wisdom Marine Group,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2018-Jan-01,LMZ Shipping,LMZ Shipping,,
On Order,Ultramax,871,Bulk,"85,000",,"85,000",DWT,"20,344",2020-03,Sasebo HI,Established <2000,2018-Jan-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,872,Bulk,"85,000",,"85,000",DWT,"20,344",2020-02,Sasebo HI,Established <2000,2018-Jan-01,Unknown Japanese,Unknown Japanese,,
On Order,Ultramax,5219,Bulk,"82,400",,"82,400",DWT,"19,962",2020-09,JMU Maizuru Shipyard,Established >2010,2018-Jan-01,Wisdom Marine Group,Wisdom Marine Group,,
On Order,Ultramax,N/A,Bulk,"87,000",,"87,000",DWT,"20,634",2020-,COSCO HI Yangzhou,Established >2010,2017-Dec-28,Salim Group,Salim Group,,
On Order,Ultramax,N/A,Bulk,"87,000",,"87,000",DWT,"20,634",2020-,COSCO HI Yangzhou,Established >2010,2017-Dec-28,Salim Group,Salim Group,,
On Order,Ultramax,CX0809A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Chengxi Shipyard,Established <2000,2017-Dec-05,BoCom Leasing,BoCom Leasing,,
On Order,Ultramax,CX0810A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Chengxi Shipyard,Established <2000,2017-Dec-05,BoCom Leasing,BoCom Leasing,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Tianjin Xingang HI,Established <2000,2017-Dec-01,Fortune Ocean Shpg,Fortune Ocean Shpg,,
On Order,Ultramax,AH0046AL,Bulk,"86,000",,"86,000",DWT,"20,490",2019-10,Qingdao Wuchuan HI,Established >2010,2017-Dec-01,Fujian Guohang,Fujian Guohang Group,,
On Order,Ultramax,AH0047AL,Bulk,"86,000",,"86,000",DWT,"20,490",2019-10,Qingdao Wuchuan HI,Established >2010,2017-Dec-01,Fujian Guohang,Fujian Guohang Group,,
On Order,Ultramax,YZJ2015-2130,Bulk,"82,000",,"82,000",DWT,"19,903",2019-12,Jiangsu New YZJ,Established <2000,2017-Dec-01,Unknown,Unknown,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-10,Jiangsu New YZJ,Established <2000,2017-Dec-01,LMZ Shipping,LMZ Shipping,,
On Order,Ultramax,B82K-11,Bulk,"82,000",,"82,000",DWT,"19,903",2019-06,Shanhaiguan SB,Established 2000-10,2017-Dec-01,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,YZJ2015-2129,Bulk,"82,000",,"82,000",DWT,"19,903",2019-10,Jiangsu New YZJ,Established <2000,2017-Dec-01,Unknown,Unknown,,
On Order,Ultramax,B82K-12,Bulk,"82,000",,"82,000",DWT,"19,903",2019-09,Shanhaiguan SB,Established 2000-10,2017-Dec-01,Seatankers Mgmt,Fredriksen Group,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Tianjin Xingang HI,Established <2000,2017-Dec-01,Fortune Ocean Shpg,Fortune Ocean Shpg,,
On Order,Ultramax,AH0045AL,Bulk,"86,000",,"86,000",DWT,"20,490",2019-08,Qingdao Wuchuan HI,Established >2010,2017-Dec-01,Fujian Guohang,Fujian Guohang Group,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Taizhou Kouan SB,Established <2000,2017-Nov-08,Tomini Shipping,Tomini Shipping,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-03,Taizhou Kouan SB,Established <2000,2017-Nov-08,W Marine Inc.,W Marine Inc.,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Taizhou Kouan SB,Established <2000,2017-Nov-08,Aquavita Intl,Aquavita Intl,,
On Order,Ultramax,TK0630,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Taizhou Kouan SB,Established <2000,2017-Nov-08,Tomini Shipping,Tomini Shipping,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Taizhou Kouan SB,Established <2000,2017-Nov-08,Tomini Shipping,Tomini Shipping,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,COSCO Zhoushan,Established <2000,2017-Nov-01,Aegean Shipping Mgmt,Aegean Shipping Mgmt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,COSCO Zhoushan,Established <2000,2017-Nov-01,Aegean Shipping Mgmt,Aegean Shipping Mgmt,,
On Order,Ultramax,HT82-213,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New Hantong,Established 2000-10,2017-Nov-01,Oldendorff Carriers,Oldendorff Carriers,23.50,$m
On Order,Ultramax,YZJ2015-2141,Bulk,"82,000",,"82,000",DWT,"19,903",2019-11,Jiangsu New YZJ,Established <2000,2017-Nov-01,Chartworld Shpg,Chartworld Shpg,,
On Order,Ultramax,YZJ2015-2241,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2017-Nov-01,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,YZJ2015-2242,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2017-Nov-01,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,HT82-202,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New Hantong,Established 2000-10,2017-Nov-01,Oldendorff Carriers,Oldendorff Carriers,23.50,$m
On Order,Ultramax,N/A,Bulk,"82,000","44,090","82,000",DWT,"19,744",2020-,Jinling Shipyard,Established >2010,2017-Oct-26,Qingdao Da Tong,Qingdao Da Tong,,
On Order,Ultramax,2015-2135,Bulk,"82,000","40,702","82,000",DWT,"18,804",2019-06,Jiangsu New YZJ,Established <2000,2017-Oct-10,Zihni Group,Zihni Holdg,,
On Order,Ultramax,HT82-234,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu Hantong HI,Established 2000-10,2017-Oct-01,Nisshin Shipping,Nisshin Shipping,,
On Order,Ultramax,HT82-236,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu Hantong HI,Established 2000-10,2017-Oct-01,Nisshin Shipping,Nisshin Shipping,,
On Order,Ultramax,NE269,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Nantong COSCO KHI,Established 2000-10,2017-Oct-01,Efnav Co. Ltd.,Efnav Co. Ltd.,,
On Order,Ultramax,HT82-235,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu Hantong HI,Established 2000-10,2017-Oct-01,Nisshin Shipping,Nisshin Shipping,,
On Order,Ultramax,NE270,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Nantong COSCO KHI,Established 2000-10,2017-Oct-01,Efnav Co. Ltd.,Efnav Co. Ltd.,,
On Order,Ultramax,N745,Bulk,"82,000",,"82,000",DWT,"19,903",2019-07,COSCO Zhoushan,Established <2000,2017-Sep-05,Aegean Shipping Mgmt,Aegean Shipping Mgmt,,
On Order,Ultramax,N746,Bulk,"82,000",,"82,000",DWT,"19,903",2019-10,COSCO Zhoushan,Established <2000,2017-Sep-05,Aegean Shipping Mgmt,Aegean Shipping Mgmt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-03,COSCO Zhoushan,Established <2000,2017-Sep-05,Aegean Shipping Mgmt,Aegean Shipping Mgmt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2020-06,COSCO Zhoushan,Established <2000,2017-Sep-05,Aegean Shipping Mgmt,Aegean Shipping Mgmt,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Tianjin Xingang HI,Established <2000,2017-Sep-01,Fortune Ocean Shpg,Fortune Ocean Shpg,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Tianjin Xingang HI,Established <2000,2017-Sep-01,Fortune Ocean Shpg,Fortune Ocean Shpg,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Tianjin Xingang HI,Established <2000,2017-Sep-01,Fortune Ocean Shpg,Fortune Ocean Shpg,,
On Order,Ultramax,YZJ2015-2239,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2017-Sep-01,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,SS-262,Bulk,"81,600",,"81,600",DWT,"19,844",2019-03,Tsuneishi Zhoushan,Established <2000,2017-Sep-01,Unknown,Unknown,,
On Order,Ultramax,JL0156(B),Bulk,"81,500",,"81,500",DWT,"19,829",2020-,Jinglu Shipyard,Established 2000-10,2017-Sep-01,Laskaridis Shipping,Laskaridis Shipping,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-11,Jiangsu New YZJ,Established <2000,2017-Sep-01,Interocean Trans Ltd,Interocean Trans Ltd,,
On Order,Ultramax,YZJ2015-2240,Bulk,"82,000",,"82,000",DWT,"19,903",2020-,Jiangsu New YZJ,Established <2000,2017-Sep-01,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,N/A,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Tianjin Xingang HI,Established <2000,2017-Sep-01,Fortune Ocean Shpg,Fortune Ocean Shpg,,
On Order,Ultramax,SS-263,Bulk,"81,600",,"81,600",DWT,"19,844",2019-09,Tsuneishi Zhoushan,Established <2000,2017-Sep-01,Unknown,Unknown,,
On Order,Ultramax,JL0155(B),Bulk,"81,500",,"81,500",DWT,"19,829",2020-,Jinglu Shipyard,Established 2000-10,2017-Sep-01,Laskaridis Shipping,Laskaridis Shipping,,
On Order,Ultramax,N/A,Bulk,"85,000",,"85,000",DWT,"20,344",2020-,Oshima Shipbuilding,Established <2000,2017-Aug-25,Foremost Maritime,Foremost Maritime,,
On Order,Ultramax,N/A,Bulk,"80,000",,"80,000",DWT,"19,605",2020-,Hyundai Vinashin,Established 2000-10,2017-Aug-25,Bahri Dry Bulk,Bahri,,
On Order,Ultramax,N/A,Bulk,"80,000",,"80,000",DWT,"19,605",2020-,Hyundai Vinashin,Established 2000-10,2017-Aug-25,Bahri Dry Bulk,Bahri,,
On Order,Ultramax,N/A,Bulk,"85,000",,"85,000",DWT,"20,344",2020-,Oshima Shipbuilding,Established <2000,2017-Aug-25,Foremost Maritime,Foremost Maritime,,
On Order,Ultramax,N/A,Bulk,"80,000",,"80,000",DWT,"19,605",2020-,Hyundai Vinashin,Established 2000-10,2017-Aug-25,Bahri Dry Bulk,Bahri,,
On Order,Ultramax,N/A,Bulk,"80,000",,"80,000",DWT,"19,605",2020-,Hyundai Vinashin,Established 2000-10,2017-Aug-25,Bahri Dry Bulk,Bahri,,
On Order,Ultramax,YZJ2015-2236,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2017-Jul-24,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,YZJ2015-2238,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2017-Jul-24,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,YZJ2015-2235,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2017-Jul-24,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,YZJ2015-2237,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2017-Jul-24,Angelakos Hellas SA,Angelakos Hellas SA,,
On Order,Ultramax,YZJ2015-2210,Bulk,"82,000",,"82,000",DWT,"19,903",2018-11,Jiangsu New YZJ,Established <2000,2017-Jul-17,Evalend Shipping,Evalend Shipping,,
On Order,Ultramax,YZJ2015-2211,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2017-Jul-17,Evalend Shipping,Evalend Shipping,,
On Order,Ultramax,YZJ2015-2209,Bulk,"82,000",,"82,000",DWT,"19,903",2018-09,Jiangsu New YZJ,Established <2000,2017-Jul-17,Evalend Shipping,Evalend Shipping,,
On Order,Ultramax,YZJ2015-2212,Bulk,"82,000",,"82,000",DWT,"19,903",2019-,Jiangsu New YZJ,Established <2000,2017-Jul-17,Evalend Shipping,Evalend Shipping,,
On Order,Ultramax,SC-332,Bulk,"81,600",,"81,600",DWT,"19,844",2018-11,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-334,Bulk,"81,600",,"81,600",DWT,"19,844",2019-02,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-307,Bulk,"81,600",,"81,600",DWT,"19,844",2019-05,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-337,Bulk,"81,600",,"81,600",DWT,"19,844",2019-05,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-338,Bulk,"81,600",,"81,600",DWT,"19,844",2019-08,Tsuneishi Cebu,Established <2000,2017-Jul-01,Kambara Kisen,Tsuneishi Holdings,,
On Order,Ultramax,SC-344,Bulk,"81,600",,"81,600",DWT,"19,844",2020-05,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-346,Bulk,"81,600",,"81,600",DWT,"19,844",2020-08,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-348,Bulk,"81,600",,"81,600",DWT,"19,844",2020-11,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-350,Bulk,"81,600",,"81,600",DWT,"19,844",2021-05,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-333,Bulk,"81,600",,"81,600",DWT,"19,844",2018-11,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-335,Bulk,"81,600",,"81,600",DWT,"19,844",2019-02,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-336,Bulk,"81,600",,"81,600",DWT,"19,844",2019-05,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
On Order,Ultramax,SC-308,Bulk,"81,600",,"81,600",DWT,"19,844",2019-08,Tsuneishi Cebu,Established <2000,2017-Jul-01,Unknown,Unknown,,
